location_id,state,city
GA_Atlanta,GA,Atlanta
AZ_Phoenix,AZ,Phoenix
MD_Baltimore,MD,Baltimore
MA_Boston,MA,Boston
IL_Chicago,IL,Chicago
OH_Cincinnati,OH,Cincinnati
OH_Cleveland,OH,Cleveland
CO_Denver,CO,Denver
MI_Detroit,MI,Detroit
TX_Houston,TX,Houston
MO_Kansas City,MO,Kansas City
CA_Anaheim,CA,Anaheim
CA_Los Angeles,CA,Los Angeles
FL_Miami,FL,Miami
WI_Milwaukee,WI,Milwaukee
MN_Minneapolis,MN,Minneapolis
NY_New York,NY,New York
CA_Oakland,CA,Oakland
PA_Philadelphia,PA,Philadelphia
PA_Pittsburgh,PA,Pittsburgh
CA_San Diego,CA,San Diego
WA_Seattle,WA,Seattle
CA_San Francisco,CA,San Francisco
MO_St. Louis,MO,St. Louis
FL_St. Petersburg,FL,St. Petersburg
TX_Arlington,TX,Arlington
ONT_Toronto,ONT,Toronto
DC_Washington,DC,Washington
